'CK.neg_mul_log_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.log_one_add_two_mul_le_tangent' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.one_le_neg_log_of_le_third' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Q_ge_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.endpoint_interval' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.gain_dominance' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.log_five_le_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.log_twenty_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.binaryEntropy_le_half_of_small' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lowNoiseCK_of_profile' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lowNoiseCK_of_scalar_and_pinsker' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.atanhLog_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.atanhLog_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.curvature_even' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.eta_even' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.eta_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.eta_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.kappa_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.atanhLog_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.atanhLog_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.le_atanhLog' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.eta_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.eta_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.curvature_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.one_le_curvature' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.curvature_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.continuous_binaryEntropy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.continuous_eta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.hasDerivAt_binaryEntropy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.hasDerivAt_eta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.hasDerivAt_atanhLog' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.eta_antitoneOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.eta_le_eta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.eta_le_log_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.kappa_ge_half_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.hasDerivAt_curvature' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.chi' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.fourierCoeff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.weight' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.signOf' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.negCube' does not depend on any axioms
'CK.sign_mul_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sign_mul_sign' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sign_not' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.avg_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.avg_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sum_div_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.avg_finset_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.chi_empty' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.chi_singleton' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.chi_eq_prod_univ' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.chi_mul_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.chi_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.avg_chi' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.chi_orthonormal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sum_chi_mul_chi' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.fourier_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.plancherel' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.parseval' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.weight_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sum_weight' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.fourierCoeff_empty' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.weight_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.weight_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.fourierCoeff_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.fourierCoeff_const_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.fourierCoeff_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.signOf_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.signOf_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.avg_signOf' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.abs_signOf' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.fourierCoeff_indicator' depends on axioms: [propext, Classical.choice, Quot.sound]
